drv_age1,vh_age,vh_cyl,vh_din,pol_bonus,vh_sale_begin,vh_sale_end,vh_value,vh_speed,claim_amount,made_claim
54.0,11.0,1461.0,101.0,0.5,12.0,10.0,18950.0,179.0,0.0,0.0
69.0,7.0,1461.0,86.0,0.5,10.0,8.0,17450.0,174.0,0.0,0.0
62.0,18.0,2664.0,125.0,0.5,19.0,17.0,29713.0,155.0,0.0,0.0
79.0,9.0,998.0,68.0,0.5,10.0,5.0,9450.0,157.0,0.0,0.0
55.0,13.0,1199.0,75.0,0.5,15.0,11.0,10680.0,155.0,0.0,0.0
85.0,12.0,1360.0,75.0,0.5,13.0,11.0,12750.0,150.0,0.0,0.0
57.0,8.0,2231.0,136.0,0.5,10.0,6.0,25900.0,195.0,0.0,0.0
68.0,7.0,1149.0,75.0,0.5,10.0,8.0,12450.0,167.0,0.0,0.0
66.0,15.0,1998.0,109.0,0.5,17.0,12.0,21300.0,191.0,0.0,0.0
52.0,9.0,1298.0,87.0,0.5,10.0,6.0,13100.0,170.0,0.0,0.0
61.0,11.0,1951.0,150.0,0.5,14.0,12.0,33660.0,216.0,0.0,0.0
77.0,13.0,1598.0,108.0,0.5,16.0,15.0,15992.0,195.0,0.0,0.0
68.0,9.0,1587.0,109.0,0.5,14.0,12.0,20150.0,190.0,0.0,0.0
43.0,13.0,1896.0,131.0,0.5,15.0,11.0,26710.0,208.0,0.0,0.0
56.0,5.0,1248.0,70.0,0.5,11.0,9.0,11645.0,164.0,0.0,0.0
60.0,6.0,1461.0,66.0,0.5,6.0,5.0,15850.0,158.0,0.0,0.0
49.0,25.0,2497.0,90.0,0.5,29.0,27.0,28685.0,165.0,0.0,0.0
76.0,10.0,1868.0,70.0,0.5,13.0,10.0,14400.0,142.0,0.0,0.0
58.0,9.0,1968.0,140.0,0.5,11.0,7.0,34890.0,210.0,0.0,0.0
69.0,18.0,1171.0,60.0,0.5,23.0,19.0,10199.0,155.0,0.0,0.0
66.0,20.0,1171.0,60.0,0.5,24.0,20.0,9955.0,155.0,0.0,0.0
59.0,14.0,1997.0,109.0,0.5,14.0,13.0,22000.0,192.0,0.0,0.0
91.0,17.0,954.0,51.0,0.5,19.0,17.0,9590.0,150.0,0.0,0.0
67.0,12.0,1360.0,75.0,0.5,17.0,12.0,11950.0,170.0,0.0,0.0
52.0,5.0,1461.0,86.0,0.5,5.0,5.0,15990.0,175.0,0.0,0.0
56.0,8.0,1870.0,131.0,0.5,10.0,9.0,23750.0,200.0,0.0,0.0
31.0,20.0,1905.0,71.0,0.51,22.0,19.0,14773.0,162.0,0.0,0.0
78.0,16.0,1870.0,55.0,0.5,18.0,14.0,12764.0,135.0,0.0,0.0
81.0,10.0,1587.0,109.0,0.64,13.0,8.0,20300.0,193.0,0.0,0.0
74.0,12.0,1997.0,90.0,0.5,16.0,10.0,20750.0,175.0,0.0,0.0
70.0,12.0,1997.0,90.0,0.5,14.0,11.0,18100.0,179.0,0.0,0.0
61.0,9.0,1461.0,68.0,0.5,10.0,9.0,15050.0,162.0,0.0,0.0
54.0,12.0,1461.0,56.0,0.5,14.0,11.0,12319.0,155.0,0.0,0.0
74.0,24.0,2497.0,90.0,0.5,30.0,27.0,24719.0,174.0,0.0,0.0
70.0,16.0,1598.0,108.0,0.5,17.0,15.0,16770.0,195.0,0.0,0.0
84.0,16.0,1149.0,59.0,0.5,17.0,15.0,10962.0,160.0,0.0,0.0
80.0,6.0,1560.0,90.0,0.5,7.0,4.0,19800.0,161.0,0.0,0.0
64.0,7.0,1242.0,66.0,0.5,10.0,5.0,13490.0,155.0,0.0,0.0
49.0,8.0,1560.0,109.0,0.5,11.0,10.0,22150.0,192.0,0.0,0.0
40.0,21.0,954.0,45.0,0.5,23.0,21.0,9818.0,145.0,0.0,0.0
59.0,25.0,2068.0,60.0,0.5,26.0,20.0,19627.0,109.0,0.0,0.0
